test_index,perturbations,exact_match_rate,jaccard_mean
255,8,0.0,0.575
256,8,0.125,0.4708333333333334
257,8,0.0,0.43333333333333335
258,8,0.125,0.60625
259,8,0.125,0.4119047619047619
260,8,0.0,0.319047619047619
261,8,0.25,0.5541666666666667
262,8,0.0,0.42827380952380956
263,8,0.0,0.4666666666666667
264,8,0.25,0.6666666666666666
265,8,0.125,0.5833333333333333
266,8,0.25,0.6375000000000001
267,8,0.0,0.5020833333333333
268,8,0.125,0.37857142857142856
269,8,0.125,0.46041666666666664
270,8,0.0,0.5020833333333333
271,8,0.0,0.4095238095238095
272,8,0.0,0.35238095238095235
273,8,0.0,0.5145833333333333
274,8,0.25,0.5761904761904763
275,8,0.125,0.5833333333333333
276,8,0.0,0.45833333333333326
277,8,0.0,0.44285714285714284
278,8,0.125,0.4833333333333334
279,8,0.0,0.5458333333333333
280,8,0.125,0.5261904761904762
281,8,0.125,0.5261904761904761
282,8,0.0,0.41666666666666663
283,8,0.0,0.45238095238095244
284,8,0.125,0.5166666666666667
285,8,0.125,0.5916666666666667
286,8,0.125,0.5125
287,8,0.0,0.5616071428571429
288,8,0.125,0.6208333333333333
289,8,0.0,0.5020833333333333
290,8,0.0,0.5625
291,8,0.125,0.61875
292,8,0.125,0.5770833333333334
293,8,0.0,0.5616071428571429
294,8,0.125,0.4895833333333333
295,8,0.125,0.4928571428571429
296,8,0.25,0.6333333333333333
297,8,0.25,0.5645833333333332
298,8,0.125,0.5354166666666667
299,8,0.0,0.6625000000000001
300,8,0.125,0.5261904761904762
301,8,0.0,0.3999999999999999
302,8,0.0,0.53125
303,8,0.0,0.3523809523809524
304,8,0.0,0.4583333333333333
305,8,0.25,0.6095238095238096
306,8,0.125,0.5770833333333334
307,8,0.25,0.6095238095238095
308,8,0.0,0.4
309,8,0.125,0.42619047619047623
310,8,0.0,0.40952380952380957
311,8,0.25,0.5645833333333334
312,8,0.125,0.5449404761904763
313,8,0.125,0.5770833333333334
314,8,0.0,0.4270833333333333
315,8,0.125,0.46041666666666664
316,8,0.0,0.4428571428571429
317,8,0.0,0.45238095238095244
318,8,0.125,0.46458333333333324
319,8,0.125,0.5166666666666667
320,8,0.0,0.40952380952380957
321,8,0.5,0.8
322,8,0.0,0.5
323,8,0.125,0.60625
324,8,0.0,0.5333333333333333
325,8,0.0,0.4437499999999999
326,8,0.25,0.6666666666666666
327,8,0.0,0.43333333333333335
328,8,0.0,0.51875
329,8,0.375,0.7166666666666666
330,8,0.125,0.60625
331,8,0.125,0.5595238095238095
332,8,0.0,0.4
333,8,0.0,0.51875
334,8,0.125,0.6208333333333333
335,8,0.0,0.4428571428571429
336,8,0.375,0.6595238095238095
337,8,0.125,0.6729166666666666
338,8,0.125,0.5833333333333333
339,8,0.125,0.53125
340,8,0.25,0.6333333333333333
341,8,0.125,0.5833333333333333
342,8,0.25,0.6083333333333334
343,8,0.125,0.55
344,8,0.0,0.4282738095238096
345,8,0.125,0.5354166666666667
346,8,0.5,0.7333333333333334
347,8,0.125,0.60625
348,8,0.0,0.2833333333333333
349,8,0.0,0.51875
350,8,0.125,0.48958333333333326
351,8,0.375,0.6928571428571428
352,8,0.0,0.4666666666666667
353,8,0.0,0.5145833333333333
354,8,0.0,0.46874999999999994
355,8,0.0,0.5
356,8,0.125,0.42619047619047623
357,8,0.0,0.48749999999999993
358,8,0.125,0.5687500000000001
359,8,0.0,0.5333333333333333
360,8,0.125,0.46904761904761905
361,8,0.125,0.42619047619047623
362,8,0.0,0.4616071428571429
363,8,0.125,0.5833333333333333
364,8,0.0,0.4616071428571429
365,8,0.0,0.4666666666666667
366,8,0.0,0.4428571428571429
367,8,0.125,0.4928571428571429
368,8,0.25,0.6375
369,8,0.125,0.6083333333333334
370,8,0.25,0.5523809523809524
371,8,0.125,0.5333333333333333
372,8,0.125,0.5116071428571429
373,8,0.125,0.4928571428571429
374,8,0.25,0.5190476190476191
375,8,0.125,0.5166666666666667
376,8,0.125,0.5895833333333333
377,8,0.125,0.5833333333333333
378,8,0.0,0.4854166666666667
379,8,0.0,0.5666666666666667
380,8,0.125,0.65
381,8,0.0,0.4729166666666666
382,8,0.0,0.42916666666666664
383,8,0.0,0.5
384,8,0.0,0.44285714285714284
385,8,0.125,0.4166666666666667
386,8,0.0,0.40952380952380957
387,8,0.25,0.6354166666666667
388,8,0.0,0.42916666666666664
389,8,0.25,0.60625
390,8,0.0,0.36875
391,8,0.0,0.48750000000000004
392,8,0.125,0.5544642857142857
393,8,0.0,0.43333333333333335
394,8,0.25,0.6812499999999999
395,8,0.125,0.5261904761904762
396,8,0.0,0.5
397,8,0.125,0.5261904761904762
398,8,0.0,0.5895833333333333
399,8,0.25,0.6095238095238096
