threshold,approve_rate,deny_rate,policy_interpretation,accuracy,precision,recall,f1,tn,fp,fn,tp
0.6000000000000003,0.9936,0.0064,approval_focused_policy_high_approvals_lower_risk_capture,0.9349333333333333,0.6388888888888888,0.061170212765957445,0.11165048543689321,20944,52,1412,92
0.6100000000000003,0.9936444444444444,0.006355555555555555,approval_focused_policy_high_approvals_lower_risk_capture,0.9348888888888889,0.6363636363636364,0.06050531914893617,0.11050394656952034,20944,52,1413,91
0.6200000000000003,0.9937777777777778,0.006222222222222222,approval_focused_policy_high_approvals_lower_risk_capture,0.9349333333333333,0.6428571428571429,0.0598404255319149,0.10948905109489052,20946,50,1414,90
0.6300000000000003,0.9938666666666667,0.0061333333333333335,approval_focused_policy_high_approvals_lower_risk_capture,0.9348444444444445,0.6376811594202898,0.05851063829787234,0.1071863580998782,20946,50,1416,88
0.6400000000000003,0.9940444444444444,0.005955555555555556,approval_focused_policy_high_approvals_lower_risk_capture,0.9346666666666666,0.6268656716417911,0.05585106382978723,0.10256410256410256,20946,50,1420,84
0.6500000000000004,0.9942222222222222,0.0057777777777777775,approval_focused_policy_high_approvals_lower_risk_capture,0.9345777777777777,0.6230769230769231,0.0538563829787234,0.09914320685434516,20947,49,1423,81
0.6600000000000004,0.9942222222222222,0.0057777777777777775,approval_focused_policy_high_approvals_lower_risk_capture,0.9345777777777777,0.6230769230769231,0.0538563829787234,0.09914320685434516,20947,49,1423,81
0.6700000000000004,0.9943555555555555,0.005644444444444444,approval_focused_policy_high_approvals_lower_risk_capture,0.9345333333333333,0.6220472440944882,0.052526595744680854,0.09687308399754752,20948,48,1425,79
0.6800000000000004,0.9943555555555555,0.005644444444444444,approval_focused_policy_high_approvals_lower_risk_capture,0.9345333333333333,0.6220472440944882,0.052526595744680854,0.09687308399754752,20948,48,1425,79
0.6900000000000004,0.9944444444444445,0.005555555555555556,approval_focused_policy_high_approvals_lower_risk_capture,0.9345333333333333,0.624,0.05186170212765957,0.09576427255985268,20949,47,1426,78
0.7000000000000004,0.9945777777777778,0.005422222222222222,approval_focused_policy_high_approvals_lower_risk_capture,0.9344888888888889,0.6229508196721312,0.05053191489361702,0.09348093480934809,20950,46,1428,76
