model,trial,interactions,learning_rate,max_bins,outer_bags,auc_mean,pr_auc_mean,f1_mean,auc_std,pr_auc_std,f1_std,lam,n_splines,spline_order,max_iter
ebm,14,0.0,0.05,512.0,14.0,0.7779358904288488,0.5405401498672694,0.5163321384136337,0.006013449307695699,0.006362197370690887,0.009494232055694796,,,,
ebm,15,0.0,0.01,512.0,8.0,0.7774560117183806,0.5419494842361774,0.5139370255287424,0.0051763672207498276,0.005166986471625023,0.012421310848151384,,,,
ebm,16,5.0,0.02,128.0,8.0,0.7787250138598052,0.5419434239100756,0.5186645571991488,0.005658125353410944,0.004988422055944441,0.00890446192742688,,,,
ebm,17,5.0,0.01,256.0,14.0,0.7782560908045288,0.542698118441509,0.5160585631096479,0.005318670163394351,0.00499982824615417,0.011164483427154424,,,,
ebm,18,0.0,0.02,128.0,14.0,0.7783291944405594,0.541346263397353,0.5147341789352848,0.005480730226881794,0.005337693339426617,0.009322171610399778,,,,
ebm,19,5.0,0.02,256.0,8.0,0.7788017924310784,0.5424340100124423,0.5185533563895599,0.0062213675474414015,0.005474714146177719,0.00861848473664594,,,,
ebm,20,15.0,0.02,512.0,8.0,0.7785497113003617,0.5424752355354717,0.5178853730038918,0.005947139059264394,0.005831061778451275,0.009096406483071622,,,,
monotone_gam,1,,,,,0.7730198199653435,0.5401169848252465,0.508490518612337,0.006254609785036652,0.005517674702934299,0.01327676104142394,0.1,10.0,3.0,200.0
monotone_gam,2,,,,,0.7630992104670357,0.5314529251692033,0.5092019240352805,0.006742575252145767,0.006461530383232864,0.009992150658651623,25.0,10.0,3.0,200.0
monotone_gam,3,,,,,0.7672270606910645,0.5362855167379009,0.508694121527391,0.007127920771431673,0.006086186979516557,0.01005205061527339,10.0,10.0,3.0,200.0
monotone_gam,4,,,,,0.7709774241734648,0.541471808297528,0.5104258826386745,0.007614770336866459,0.005228882655080459,0.010809801610953036,25.0,15.0,3.0,200.0
monotone_gam,5,,,,,0.774881457162057,0.5435952453528339,0.5120070493677661,0.006749175901252462,0.004341735543806339,0.013622313853373808,1.0,20.0,3.0,200.0
monotone_gam,6,,,,,0.7740939059307385,0.5438167615133044,0.5107149636874748,0.006855105501076432,0.004406020389531585,0.01311455059380915,10.0,25.0,3.0,200.0
monotone_gam,7,,,,,0.7747717302331768,0.543144739318251,0.5111187183204392,0.006878130258395016,0.0047060535873193095,0.01354823592575106,1.0,25.0,3.0,200.0
monotone_gam,8,,,,,0.7739661264592683,0.5428264352218394,0.5112043806407218,0.0067825022662496865,0.0042382891404874,0.014098516225605867,0.6,15.0,3.0,200.0
monotone_gam,9,,,,,0.7733049708822703,0.5433176595907578,0.5109328854879406,0.007124817721506,0.004583332877120108,0.012882947232769306,10.0,20.0,3.0,200.0
monotone_gam,10,,,,,0.7692432289895985,0.5379062248879332,0.5092698854409521,0.007300439167437007,0.005887296235983439,0.011388350022445575,5.0,10.0,3.0,200.0
monotone_gam,11,,,,,0.7748896458350365,0.5420718996066338,0.5123338906866813,0.006765082321831663,0.006161950602917077,0.013697292039830214,0.1,20.0,3.0,200.0
monotone_gam,12,,,,,0.7724707144907283,0.5428899231071744,0.5099218633341855,0.007460555908764497,0.004601920096107836,0.012639730487750007,25.0,20.0,3.0,200.0
monotone_gam,13,,,,,0.7734923331934425,0.5435587173394655,0.5108315531982333,0.007135674220527819,0.004515060637608308,0.013564134723560209,25.0,25.0,3.0,200.0
monotone_gam,14,,,,,0.774972172922744,0.5435333614668687,0.5122188819432851,0.006745246079937286,0.00446316239419679,0.013876320873788713,0.6,20.0,3.0,200.0
monotone_gam,15,,,,,0.7716225932192717,0.5396438429974886,0.5073233692983854,0.007429330523101092,0.005602815340937264,0.01053097352831751,1.0,10.0,3.0,200.0
monotone_gam,16,,,,,0.7738428364600618,0.5435243806455332,0.51114891291312,0.006910210736741812,0.00446529880288061,0.013538284797223656,5.0,20.0,3.0,200.0
monotone_gam,17,,,,,0.7744498330210811,0.5436781996087023,0.5111513733661243,0.006769933192442261,0.004476919835301434,0.01359057771361846,5.0,25.0,3.0,200.0
monotone_gam,18,,,,,0.7720487379169876,0.5399309372945991,0.5072780062848248,0.007219728217085785,0.005508398238112166,0.011008353278871712,0.6,10.0,3.0,200.0
monotone_gam,19,,,,,0.7737919536934449,0.542847560392364,0.5112493655090367,0.0068888224647654685,0.004193466355437185,0.013372614151235519,1.0,15.0,3.0,200.0
monotone_gam,20,,,,,0.7725194256001121,0.5426196033793712,0.5108728809565358,0.007232425619425909,0.00449232845274343,0.012764903858286106,5.0,15.0,3.0,200.0
