repeat,fold,model,auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1
2,1,xcreditscore,0.7528408797862683,0.5374785023756197,0.13740991055965424,0.4400498036337572,0.8165,0.6178608515057114,0.4480421686746988,0.5194238323876037
2,1,logistic_regression,0.7187803009985146,0.5100190356665387,0.1450373479759566,0.4659141376211185,0.8153333333333334,0.6224944320712695,0.42093373493975905,0.5022461814914645
2,1,random_forest,0.7713236024147961,0.5424504258920729,0.137027724934303,0.43596071062334524,0.8033333333333333,0.5607553366174056,0.5143072289156626,0.5365278868813825
2,1,xgboost,0.787529317827818,0.56191615621578,0.1336672157049179,0.42606665578465525,0.8151666666666667,0.6018604651162791,0.4871987951807229,0.5384935497295048
2,2,xcreditscore,0.7506314635004179,0.52907955221812,0.13708512485027313,0.4406062922441281,0.8205,0.6344086021505376,0.4446119065561417,0.5228178998670802
2,2,logistic_regression,0.7192816369946418,0.5057875321738478,0.14451539835876498,0.46470153004822995,0.8191666666666667,0.636568848758465,0.4250188394875659,0.5097153185720741
2,2,random_forest,0.7646107422411388,0.5361403873758209,0.1378421474984997,0.4412887726979897,0.8021666666666667,0.5574712643678161,0.5116804822908817,0.5335952848722986
2,2,xgboost,0.7774406227569399,0.5518369966721335,0.13464860618114471,0.43124440100678424,0.812,0.5902085222121487,0.4905802562170309,0.5358024691358024
2,3,xcreditscore,0.7356618719572796,0.5067281045327521,0.14203862845897675,0.4524566449029855,0.8098333333333333,0.6033333333333334,0.4091936699321778,0.48765154916928605
2,3,logistic_regression,0.70341236215486,0.47951980598810023,0.14834751194352122,0.4753915213193647,0.8031666666666667,0.5800438596491229,0.39864355689525244,0.472532380527021
2,3,random_forest,0.7484653054286914,0.5082366160135401,0.1433863562284001,0.45486701158715764,0.7923333333333333,0.5332239540607056,0.4898266767143934,0.5106048703849175
2,3,xgboost,0.7659852628683014,0.5309816393468202,0.13921333849430084,0.44135835287957503,0.8028333333333333,0.564748201438849,0.47324792765636775,0.5149651496514965
2,4,xcreditscore,0.7638824003143974,0.5514599077365221,0.13485071063041687,0.43375598391595455,0.8216666666666667,0.6371398078975453,0.44988696307460435,0.5273851590106007
2,4,logistic_regression,0.7359440812724124,0.5140738912753924,0.1436115616523657,0.46072417729011494,0.8188333333333333,0.6392111368909513,0.4152223059532781,0.5034262220191869
2,4,random_forest,0.7722972370417948,0.5549091572918801,0.13512165997798398,0.4332080484293107,0.811,0.5834053586862575,0.5086661642803316,0.5434782608695652
2,4,xgboost,0.7879907357938654,0.5788852021083126,0.1316409558057785,0.42251258667927943,0.8171666666666667,0.6103646833013435,0.47927656367746796,0.536935415787252
2,5,xcreditscore,0.7578731964204247,0.534339738479749,0.13790464401245117,0.441720724776488,0.8181666666666667,0.6334841628959276,0.42200452147701584,0.506558118498417
2,5,logistic_regression,0.7208610415845909,0.5042791292963522,0.14516031880185143,0.46508495859870863,0.8125,0.6139954853273137,0.40994724943481536,0.49164030727519203
2,5,random_forest,0.7657398213953687,0.548165494156661,0.1373256034599793,0.437925574178232,0.803,0.5626620570440796,0.4905802562170309,0.5241545893719807
2,5,xgboost,0.779147585957329,0.5592706936902065,0.13436980545520782,0.4289578217019805,0.8108333333333333,0.5924855491329479,0.46345139412207986,0.5200845665961945
