model,trial,C,class_weight,auc_mean,pr_auc_mean,f1_mean,auc_std,pr_auc_std,f1_std,n_estimators,max_depth,min_samples_leaf,learning_rate,subsample,colsample_bytree
random_forest,33,,balanced,0.7938548780733475,0.7912006680730684,0.7591913075362356,0.005443851189179202,0.006824866000082683,0.006077464660966956,220.0,12,5.0,,,
random_forest,34,,balanced,0.7943333029481975,0.7927272815276348,0.7572338128947858,0.004579343693824683,0.006791107828220554,0.00585058832396797,220.0,8,5.0,,,
random_forest,35,,balanced,0.7931431502502997,0.7895238926849711,0.7572432903203912,0.005560636952020966,0.0067599852530066205,0.006850728138787934,320.0,12,1.0,,,
random_forest,36,,balanced,0.7946019399482277,0.7930949144344666,0.7565716908481791,0.004710784070036186,0.0071489940958415965,0.00586726078630152,420.0,8,5.0,,,
random_forest,37,,,0.794527072988118,0.793313221915932,0.7569200558368803,0.004442553780949061,0.005250338673395702,0.0068164804603381875,220.0,12,15.0,,,
random_forest,38,,,0.79348616133332,0.7909093849039014,0.755918661638244,0.005215507235432029,0.007195747621937814,0.006674853185575309,420.0,8,1.0,,,
random_forest,39,,balanced,0.7928539613151895,0.7900088444485646,0.7580674163450792,0.00507926959469968,0.006209249949226411,0.004208786760074286,220.0,none,5.0,,,
random_forest,40,,,0.7943066434329495,0.7928090675735722,0.7567367503660292,0.00471591368223003,0.006008055765023277,0.0069307645323301754,320.0,12,15.0,,,
xgboost,1,,,0.7906351518249548,0.7907531552335432,0.7539132392788321,0.0064769984594550125,0.006359511038852407,0.008181392189606023,220.0,6,,0.04,0.9,0.8
xgboost,2,,,0.7924895010122783,0.7928185888352156,0.75512885825627,0.005982577653039298,0.006250347566819542,0.005882374150708424,220.0,6,,0.03,0.8,0.8
xgboost,3,,,0.7901643679723881,0.7901199548348818,0.7550989320545712,0.006047348492621295,0.007567312766582307,0.00888567246148878,220.0,6,,0.04,0.9,0.9
xgboost,4,,,0.7929515102755478,0.7927693495777419,0.75699796786314,0.007489607880827887,0.008424847531337952,0.006415000697123765,420.0,4,,0.04,0.9,0.9
xgboost,5,,,0.7945698500552304,0.7949163246162041,0.7575467983697995,0.006708536927448977,0.007005797455510696,0.005705069536954616,220.0,4,,0.04,0.9,0.9
xgboost,6,,,0.7918903674083325,0.7919511832314686,0.756281789928521,0.007010213326609119,0.007173614478336303,0.006891067880529868,320.0,4,,0.06,0.9,0.8
xgboost,7,,,0.7950178845902036,0.7947179989032692,0.756767534163729,0.006016016054618423,0.006579303241164326,0.006923090142360041,220.0,4,,0.04,0.9,0.8
xgboost,8,,,0.7806867364685421,0.7809659325168397,0.7484036731130205,0.005933934784173575,0.008972754418359584,0.006180889006327746,420.0,6,,0.06,0.8,0.9
xgboost,9,,,0.7930305331164407,0.7936832662235929,0.7552400232290898,0.006256720983185947,0.006288884605381293,0.007365653384894937,220.0,6,,0.03,0.8,0.9
xgboost,10,,,0.7929213293580848,0.7922189331334042,0.7560356397832202,0.005418857815160788,0.007386224746088011,0.007204356703687107,320.0,5,,0.03,0.9,0.9
xgboost,11,,,0.7935714671823746,0.7928573549495923,0.7562154149746013,0.00551248531286716,0.006737980278025385,0.006469325334492623,220.0,5,,0.03,0.9,0.9
xgboost,12,,,0.7917460074603062,0.7907626599898081,0.7574085212597388,0.006512272007055072,0.00771386806875683,0.00840816413127693,320.0,5,,0.04,0.8,0.8
xgboost,13,,,0.7920887601857354,0.7919794155395798,0.7564709481397137,0.006622393049940682,0.006680987488285503,0.006712418604973458,320.0,4,,0.06,0.9,0.9
xgboost,14,,,0.7928610371907348,0.792335503220426,0.7559587306898862,0.005445109126967922,0.006861709852562944,0.00731658278561458,320.0,5,,0.03,0.9,0.8
xgboost,15,,,0.7881405616381786,0.7867848963275442,0.7528159680881186,0.005829492232714941,0.007827789531369724,0.005395144505755111,220.0,6,,0.06,0.8,0.9
xgboost,16,,,0.7834765310079471,0.7833760199193349,0.7497299144257086,0.007796982158127476,0.009671597635863725,0.006985844394506844,320.0,6,,0.06,0.9,0.8
xgboost,17,,,0.7845056876441615,0.7846728762381835,0.7510009521203392,0.008044773944244766,0.008537521429202829,0.01009965111571542,320.0,6,,0.06,0.8,0.8
xgboost,18,,,0.7932340185936886,0.7928280076316125,0.7569862814056265,0.006378303432338093,0.007386599780401833,0.00791158434875491,220.0,4,,0.06,0.8,0.9
xgboost,19,,,0.7901305716434498,0.7897442172652793,0.7545060465977256,0.0063157359566408874,0.009103263167170214,0.007851696762738454,420.0,5,,0.04,0.9,0.8
xgboost,20,,,0.7863954058010428,0.7858649049835481,0.7507915198325446,0.007497107323015552,0.00856798733102271,0.010458796176052864,420.0,6,,0.04,0.9,0.8
xgboost,21,,,0.7940674694385967,0.7932349893994277,0.7582349799296957,0.007038819168616267,0.008437042945697592,0.006103920036671719,320.0,4,,0.04,0.8,0.8
xgboost,22,,,0.7931356041605813,0.7932449994207621,0.7572877394394711,0.0067550699745471425,0.007327623220650176,0.006637327069313776,220.0,5,,0.04,0.8,0.8
