epochs,batch_size,calibration_keypoints,lattice_size,learning_rate,early_stopping_patience,grouping_mode,max_group_dim,tune_profile,cv_splits,cv_repeats,cv_folds,auc_mean,auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,brier_mean,log_loss_mean,fallback_count,all_lattice,balanced_score,risk_heavy_score,composite_score
28,128,10,4,0.002,4,fixed,2,final,5,1,5,0.7863193098377333,0.006795765228024025,0.7830748567428586,0.008499290399511392,0.7500071015078531,0.006005812744736999,0.1900947391986847,0.56415411318091,0,True,1.7089248298814628,1.751762168230727,1.7089248298814628
36,256,20,4,0.003,6,fixed,3,final,5,1,5,0.7861970240193659,0.0044506479692112185,0.7836659338409497,0.01109917646364243,0.7496490617204702,0.005974332485116997,0.18967604339122773,0.5631091463422788,0,True,1.7096640788225075,1.7525656224297095,1.7096640788225075
28,128,20,4,0.003,6,correlation,2,final,5,1,5,0.7859589466598175,0.004280101959965545,0.7849922149418566,0.009253716944714219,0.753243400729178,0.0057415736614743985,0.1889168441295624,0.5604174766244702,0,True,1.713643376321786,1.7575786147986205,1.713643376321786
20,128,15,4,0.003,4,correlation,3,final,5,1,5,0.7858440878247936,0.010614882754224213,0.7814705290345607,0.015281467877466037,0.7493657377384103,0.006331987441865905,0.1900714635848999,0.5642240552027812,0,True,1.7065047736906063,1.7491449538166468,1.7065047736906063
36,256,15,3,0.003,4,correlation,2,final,5,1,5,0.7857229143374195,0.0033556331136183446,0.7847344493225277,0.00816418572874383,0.7508956075527149,0.004467726204782876,0.1894479364156723,0.5622962320831042,0,True,1.7112118989240837,1.7546050708952403,1.7112118989240837
28,128,20,3,0.002,6,fixed,2,final,5,1,5,0.7857054940858104,0.0042811403359042915,0.7826819493981798,0.01102007513379731,0.750523721655562,0.005636445817746096,0.1899002432823181,0.5637414555373315,0,True,1.7083597462172415,1.7514045138941432,1.7083597462172415
28,256,20,4,0.003,4,correlation,2,final,5,1,5,0.7853719588004419,0.0045129091424886214,0.7848540855622947,0.009086840331197917,0.7489868260834488,0.005476368822807074,0.19030363261699676,0.5645160783030041,0,True,1.70907810347501,1.7520606815726907,1.70907810347501
36,256,20,3,0.002,4,fixed,3,final,5,1,5,0.7853089465758806,0.006329196678367464,0.7824665401936156,0.0083750352436551,0.7507295524268028,0.006689360084665754,0.19142074584960939,0.5674966766781016,0,True,1.70623227697564,1.7491882183312812,1.70623227697564
20,128,15,4,0.003,6,correlation,2,final,5,1,5,0.7851476105699983,0.004113457957022893,0.7850067344551137,0.009467505521741188,0.7502957972481317,0.005842200537924835,0.18976573646068573,0.5627393989239924,0,True,1.7103903067336437,1.7537836475685817,1.7103903067336437
28,256,20,3,0.003,4,correlation,3,final,5,1,5,0.7851325000923304,0.004372770984461994,0.78032885843998,0.009834080015212071,0.7492020924785745,0.0029331846004324114,0.19069311916828155,0.5659149544607706,0,True,1.7038535468766718,1.7464046034748797,1.7038535468766718
20,128,10,3,0.003,4,fixed,3,final,5,1,5,0.7849763996467939,0.005351968286443504,0.7812322563222438,0.009950584495603949,0.7486987200372733,0.006733574477608925,0.19032879471778869,0.5648382420684771,0,True,1.7047988723201497,1.747424649927046,1.7047988723201497
20,128,10,3,0.003,4,correlation,3,final,5,1,5,0.7849707261040212,0.007887587949309164,0.7817635437844858,0.01483448962756425,0.7511423251493194,0.0035506999736728798,0.19062173068523408,0.5652668598318744,0,True,1.7063376853849639,1.7494850165808784,1.7063376853849639
28,128,10,4,0.002,4,correlation,3,final,5,1,5,0.7849316046541299,0.010593318427073088,0.7795619916186393,0.01587187128655876,0.7504344289394218,0.006696034192553698,0.1909642845392227,0.5663679213455308,0,True,1.7032891813637,1.7460275493153457,1.7032891813637
36,256,15,3,0.002,6,correlation,3,final,5,1,5,0.7849198760756505,0.005872732670183923,0.7839563292135416,0.009460430009613144,0.7492699695883368,0.0038494745150427223,0.19192992746829987,0.5684894075433287,0,True,1.7061539119495357,1.7489950931962608,1.7061539119495357
36,256,20,4,0.002,4,correlation,2,final,5,1,5,0.7848150651517746,0.0035814000716908024,0.7825663483911687,0.010344545180970117,0.7471960337669922,0.004370641129762877,0.19140296578407287,0.5673610301573282,0,True,1.7041224767145597,1.7464872537688536,1.7041224767145597
20,128,20,4,0.003,6,correlation,3,final,5,1,5,0.7847540063053354,0.01030516435104028,0.7792204942391457,0.014152028484427702,0.7499940583121631,0.0076363285966105495,0.19029637575149536,0.5648911427847415,0,True,1.7032003545756043,1.7459258572616472,1.7032003545756043
20,256,20,3,0.005,6,fixed,2,final,5,1,5,0.7847226260143767,0.00777008177535611,0.7815007375265351,0.011634302847912595,0.7504979693913038,0.006962559405174977,0.19026135206222533,0.5646462014019246,0,True,1.7057939073334452,1.7488667396913875,1.7057939073334452
36,256,15,4,0.003,6,correlation,2,final,5,1,5,0.784639921451906,0.0075234724006983675,0.7840338184042157,0.01169354247240588,0.7490612877939411,0.00654077445877792,0.1897663503885269,0.5628646683548838,0,True,1.7082484797511774,1.751392901442262,1.7082484797511774
20,128,20,4,0.002,4,fixed,2,final,5,1,5,0.7845710429655892,0.008098581496476416,0.7809585157723258,0.009867033184212759,0.750476092359619,0.006831021907290406,0.19178321957588196,0.5686089329254875,0,True,1.7033978344786276,1.7462442492883918,1.7033978344786276
