model,trial,interactions,learning_rate,max_bins,outer_bags,auc_mean,pr_auc_mean,f1_mean,auc_std,pr_auc_std,f1_std,lam,n_splines,spline_order,max_iter
ebm,18,0.0,0.02,128.0,14.0,0.7954560358981075,0.7929129312593137,0.7558694452088156,0.0049692545095577235,0.007308329483688929,0.008978027687800476,,,,
ebm,19,5.0,0.02,256.0,8.0,0.7954691844360956,0.7930800835108495,0.7559389066329663,0.004841366795650028,0.007263088294218268,0.009680667001753395,,,,
ebm,20,15.0,0.02,512.0,8.0,0.7952608735138983,0.7928276819882998,0.7560057353174605,0.004681115448593078,0.0074829478041758485,0.009357879441466937,,,,
monotone_gam,1,,,,,0.7974392648140126,0.7943318169707908,0.7594677690004116,0.003592551088383961,0.007974417583888917,0.005975632582553055,0.1,10.0,3.0,200.0
monotone_gam,2,,,,,0.7965489450818047,0.7940310706485204,0.7590743114073215,0.0038985706995511705,0.009121324115545915,0.00787085065046323,25.0,10.0,3.0,200.0
monotone_gam,3,,,,,0.7969285710928241,0.7946587214731665,0.7601472185169944,0.004162844664973119,0.009311593632238692,0.007448413827530538,10.0,10.0,3.0,200.0
monotone_gam,4,,,,,0.7975816920323794,0.7952595952883791,0.7597538214776447,0.004484488375589977,0.009728014117176735,0.0067205069081786644,25.0,15.0,3.0,200.0
monotone_gam,5,,,,,0.7962546017532727,0.7921723944711806,0.7592458385977803,0.0034997585979827167,0.007603266530337695,0.007158015165989861,1.0,20.0,3.0,200.0
monotone_gam,6,,,,,0.7967780666324205,0.7938971265606746,0.7595296880554491,0.0038274559701049547,0.008447235044975627,0.0068562458625524144,10.0,25.0,3.0,200.0
monotone_gam,7,,,,,0.7955489551542256,0.7914097478255896,0.7593100895807148,0.0033721691930099357,0.007861086512674236,0.00595316123696857,1.0,25.0,3.0,200.0
monotone_gam,8,,,,,0.7968436202965992,0.7934111288945517,0.7589776788528404,0.00369200903152599,0.007629859145787332,0.0065107398863752525,0.6,15.0,3.0,200.0
monotone_gam,9,,,,,0.7972923755132737,0.7947942120696863,0.7589054010965067,0.004201420513890994,0.008876528989184772,0.007177325672230568,10.0,20.0,3.0,200.0
monotone_gam,10,,,,,0.7970839759537742,0.7949945775792738,0.7604404001354729,0.004430272559832179,0.009602449130637366,0.0071363913600420515,5.0,10.0,3.0,200.0
monotone_gam,11,,,,,0.7953187491396474,0.7903965247398044,0.7601207346749297,0.0034226294310305628,0.007075397134211581,0.00542329859339072,0.1,20.0,3.0,200.0
monotone_gam,12,,,,,0.797491720302307,0.7951869290631938,0.7588025433971969,0.004368645167954518,0.009390560779678989,0.006619464863761436,25.0,20.0,3.0,200.0
monotone_gam,13,,,,,0.79730262688732,0.7947913749382436,0.7589487184414774,0.004149001719563603,0.008857527380557506,0.00707427256947384,25.0,25.0,3.0,200.0
monotone_gam,14,,,,,0.796009483519841,0.7916387716854393,0.7594904072702346,0.0034187641615210235,0.007682601915353326,0.0065951521354452,0.6,20.0,3.0,200.0
monotone_gam,15,,,,,0.7975016386149749,0.7953912414550866,0.759862856503193,0.004480639070855812,0.009413098319601227,0.006805409370389329,1.0,10.0,3.0,200.0
monotone_gam,16,,,,,0.7970247951101754,0.7942013595883044,0.759017671277088,0.00377436367088286,0.00829047309816531,0.006963132063410507,5.0,20.0,3.0,200.0
monotone_gam,17,,,,,0.7963698587846617,0.7928593844028919,0.7587141658383185,0.003513841368680575,0.007788893381758909,0.006325490167324546,5.0,25.0,3.0,200.0
monotone_gam,18,,,,,0.7975013812646259,0.7954127580806334,0.7593495823083617,0.004295047088652112,0.009191712844876394,0.006986829625514411,0.6,10.0,3.0,200.0
