threshold,approve_rate,deny_rate,policy_interpretation,accuracy,precision,recall,f1,tn,fp,fn,tp
0.48000000000000015,0.41236456341618866,0.5876354365838113,balanced_policy_tradeoff,0.7176545570427023,0.7039045553145337,0.7924297924297924,0.7455485353245261,477,273,170,649
0.49000000000000016,0.4716379859783301,0.5283620140216698,balanced_policy_tradeoff,0.7221159974506055,0.7310012062726177,0.73992673992674,0.7354368932038835,527,223,213,606
0.5000000000000002,0.4824729126832377,0.5175270873167622,balanced_policy_tradeoff,0.722753346080306,0.7364532019704434,0.7301587301587301,0.733292458614347,536,214,221,598
0.5100000000000002,0.49012109623964306,0.5098789037603569,balanced_policy_tradeoff,0.7240280433397068,0.74125,0.724053724053724,0.7325509573810994,543,207,226,593
0.5200000000000002,0.49776927979604846,0.5022307202039515,balanced_policy_tradeoff,0.7253027405991077,0.7461928934010152,0.717948717948718,0.731798382078407,550,200,231,588
0.5300000000000002,0.5066921606118547,0.4933078393881453,balanced_policy_tradeoff,0.722753346080306,0.748062015503876,0.706959706959707,0.7269303201506592,555,195,240,579
0.5400000000000003,0.5156150414276609,0.4843849585723391,balanced_policy_tradeoff,0.7240280433397068,0.7539473684210526,0.6996336996336996,0.7257758074730842,563,187,246,573
0.5500000000000003,0.5264499681325685,0.4735500318674315,balanced_policy_tradeoff,0.7208413001912046,0.756393001345895,0.6862026862026862,0.7195902688860435,569,181,257,562
0.5600000000000003,0.5360101975780752,0.4639898024219248,balanced_policy_tradeoff,0.7214786488209051,0.7623626373626373,0.6776556776556777,0.7175177763413058,577,173,264,555
0.5700000000000003,0.5481198215423837,0.4518801784576163,balanced_policy_tradeoff,0.7195666029318037,0.767277856135402,0.6642246642246642,0.7120418848167539,585,165,275,544
0.5800000000000003,0.5602294455066922,0.4397705544933078,balanced_policy_tradeoff,0.7176545570427023,0.7724637681159421,0.6507936507936508,0.7064280980781975,593,157,286,533
0.5900000000000003,0.5678776290630975,0.4321223709369025,balanced_policy_tradeoff,0.7138304652644997,0.7728613569321534,0.6398046398046398,0.700066800267201,596,154,295,524
0.6000000000000003,0.579987253027406,0.420012746972594,balanced_policy_tradeoff,0.7106437221159975,0.7769347496206374,0.6251526251526252,0.6928281461434371,603,147,307,512
0.6100000000000003,0.5882727852135118,0.4117272147864882,balanced_policy_tradeoff,0.710006373486297,0.781733746130031,0.6166056166056166,0.689419795221843,609,141,314,505
0.6200000000000003,0.5991077119184194,0.4008922880815806,balanced_policy_tradeoff,0.7055449330783938,0.7837837837837838,0.6019536019536019,0.680939226519337,614,136,326,493
0.6300000000000003,0.6067558954748248,0.3932441045251753,balanced_policy_tradeoff,0.704270235818993,0.7876823338735819,0.5934065934065934,0.6768802228412256,619,131,333,486
0.6400000000000003,0.6169534735500318,0.3830465264499681,balanced_policy_tradeoff,0.6991714467813894,0.7886855241264559,0.5787545787545788,0.6676056338028169,623,127,345,474
0.6500000000000004,0.6258763543658381,0.3741236456341619,balanced_policy_tradeoff,0.6991714467813894,0.7955706984667802,0.5702075702075702,0.6642958748221907,630,120,352,467
0.6600000000000004,0.6297004461440407,0.3702995538559592,balanced_policy_tradeoff,0.6966220522625877,0.7951807228915663,0.5641025641025641,0.66,631,119,357,462
